 Parents' Occupation,Child's Nursery,Form of the family,Children,Housing condition,Finance standing,Social condition,Health condition,Final Evaluation
pretentious,proper,foster,2,critical,inconv,nonprob,not_recom,not_recom
pretentious,less_proper,foster,more,critical,convenient,slightly_prob,not_recom,not_recom
pretentious,improper,complete,3,less_conv,convenient,nonprob,priority,spec_prior
great_pret,very_crit,incomplete,1,convenient,inconv,problematic,recommended,spec_prior
great_pret,proper,completed,2,less_conv,inconv,problematic,not_recom,not_recom
great_pret,less_proper,complete,more,convenient,inconv,problematic,priority,spec_prior
pretentious,very_crit,foster,2,critical,inconv,nonprob,recommended,spec_prior
pretentious,improper,completed,3,less_conv,convenient,nonprob,not_recom,not_recom
great_pret,less_proper,incomplete,2,less_conv,inconv,problematic,recommended,spec_prior
pretentious,critical,complete,3,convenient,convenient,slightly_prob,recommended,priority
great_pret,improper,completed,2,less_conv,convenient,problematic,recommended,spec_prior
great_pret,less_proper,completed,2,critical,inconv,problematic,priority,spec_prior
pretentious,very_crit,completed,1,critical,convenient,problematic,priority,spec_prior
pretentious,proper,complete,3,less_conv,convenient,slightly_prob,not_recom,not_recom
great_pret,less_proper,incomplete,1,critical,inconv,problematic,not_recom,not_recom
pretentious,very_crit,complete,2,convenient,convenient,slightly_prob,priority,spec_prior
pretentious,very_crit,completed,more,convenient,convenient,slightly_prob,priority,spec_prior
pretentious,very_crit,complete,2,less_conv,inconv,slightly_prob,not_recom,not_recom
pretentious,very_crit,complete,1,less_conv,convenient,slightly_prob,priority,spec_prior
great_pret,very_crit,completed,3,critical,inconv,nonprob,recommended,spec_prior
usual,proper,complete,more,critical,convenient,nonprob,not_recom,not_recom
pretentious,critical,complete,3,convenient,convenient,problematic,recommended,spec_prior
usual,critical,incomplete,3,less_conv,inconv,problematic,priority,spec_prior
pretentious,less_proper,foster,2,less_conv,convenient,problematic,not_recom,not_recom
usual,proper,completed,1,less_conv,convenient,problematic,not_recom,not_recom
usual,proper,incomplete,1,critical,convenient,nonprob,priority,priority
usual,very_crit,complete,2,convenient,convenient,problematic,priority,spec_prior
usual,less_proper,completed,3,convenient,convenient,problematic,recommended,priority
great_pret,proper,foster,2,less_conv,inconv,problematic,not_recom,not_recom
great_pret,proper,incomplete,3,convenient,inconv,nonprob,priority,spec_prior
usual,proper,completed,3,less_conv,convenient,problematic,not_recom,not_recom
great_pret,proper,incomplete,2,critical,convenient,nonprob,priority,spec_prior
usual,improper,foster,3,convenient,convenient,nonprob,recommended,very_recom
usual,critical,completed,2,convenient,inconv,problematic,recommended,priority
pretentious,critical,incomplete,more,convenient,inconv,problematic,recommended,spec_prior
usual,critical,completed,2,convenient,convenient,nonprob,priority,priority
pretentious,very_crit,foster,1,critical,inconv,nonprob,priority,spec_prior
great_pret,very_crit,completed,3,convenient,convenient,nonprob,not_recom,not_recom
great_pret,improper,foster,1,convenient,inconv,nonprob,priority,spec_prior
usual,less_proper,incomplete,1,critical,inconv,problematic,not_recom,not_recom
pretentious,critical,incomplete,1,critical,convenient,problematic,not_recom,not_recom
pretentious,critical,complete,1,convenient,convenient,nonprob,recommended,priority
pretentious,improper,complete,2,critical,inconv,problematic,not_recom,not_recom
usual,less_proper,foster,3,less_conv,convenient,problematic,recommended,priority
great_pret,critical,foster,2,critical,convenient,nonprob,not_recom,not_recom
pretentious,less_proper,complete,1,critical,inconv,problematic,priority,priority
pretentious,critical,incomplete,more,critical,inconv,problematic,priority,spec_prior
usual,improper,completed,more,critical,convenient,problematic,recommended,priority
great_pret,proper,complete,more,convenient,inconv,slightly_prob,recommended,priority
great_pret,improper,completed,more,critical,convenient,problematic,recommended,spec_prior
great_pret,less_proper,complete,1,convenient,inconv,nonprob,priority,priority
great_pret,less_proper,foster,3,less_conv,convenient,problematic,priority,spec_prior
usual,less_proper,complete,2,less_conv,inconv,slightly_prob,priority,priority
usual,proper,complete,2,convenient,convenient,problematic,priority,priority
pretentious,improper,completed,1,convenient,convenient,slightly_prob,not_recom,not_recom
great_pret,critical,complete,3,less_conv,inconv,problematic,not_recom,not_recom
pretentious,less_proper,completed,3,convenient,convenient,problematic,priority,priority
pretentious,very_crit,completed,2,critical,convenient,slightly_prob,not_recom,not_recom
pretentious,less_proper,foster,3,less_conv,convenient,slightly_prob,priority,priority
usual,less_proper,completed,3,critical,convenient,slightly_prob,recommended,priority
great_pret,critical,complete,3,critical,convenient,problematic,recommended,spec_prior
usual,proper,complete,more,critical,inconv,problematic,priority,priority
great_pret,improper,complete,1,convenient,inconv,nonprob,recommended,priority
pretentious,less_proper,incomplete,3,convenient,inconv,nonprob,not_recom,not_recom
usual,very_crit,complete,1,less_conv,inconv,problematic,priority,spec_prior
great_pret,improper,incomplete,1,critical,inconv,slightly_prob,priority,spec_prior
great_pret,very_crit,completed,2,critical,inconv,problematic,priority,spec_prior
usual,critical,completed,1,convenient,inconv,slightly_prob,not_recom,not_recom
pretentious,very_crit,incomplete,3,critical,convenient,problematic,priority,spec_prior
great_pret,improper,complete,1,less_conv,convenient,problematic,not_recom,not_recom
usual,proper,foster,2,critical,convenient,slightly_prob,not_recom,not_recom
usual,proper,complete,,less_conv,,nonprob,priority,priority
usual,very_crit,complete,2,convenient,convenient,problematic,recommended,spec_prior
usual,improper,complete,1,critical,inconv,nonprob,priority,priority
usual,critical,incomplete,3,less_conv,inconv,slightly_prob,priority,spec_prior
pretentious,very_crit,foster,more,convenient,convenient,slightly_prob,not_recom,not_recom
usual,critical,incomplete,2,critical,convenient,problematic,priority,spec_prior
usual,less_proper,completed,1,critical,convenient,problematic,recommended,priority
great_pret,improper,foster,more,critical,inconv,nonprob,recommended,spec_prior
usual,very_crit,foster,1,convenient,convenient,slightly_prob,recommended,priority
great_pret,proper,foster,1,convenient,inconv,nonprob,priority,spec_prior
great_pret,very_crit,incomplete,3,convenient,inconv,nonprob,recommended,spec_prior
pretentious,proper,completed,more,critical,inconv,slightly_prob,not_recom,not_recom
pretentious,very_crit,foster,3,convenient,convenient,slightly_prob,priority,spec_prior
usual,proper,completed,more,critical,inconv,nonprob,,priority
usual,critical,foster,2,critical,convenient,nonprob,priority,spec_prior
pretentious,critical,incomplete,more,critical,convenient,slightly_prob,priority,spec_prior
great_pret,less_proper,foster,more,less_conv,inconv,nonprob,priority,spec_prior
usual,proper,complete,,convenient,inconv,problematic,recommended,priority
pretentious,less_proper,incomplete,2,convenient,inconv,problematic,priority,priority
great_pret,improper,completed,1,critical,convenient,slightly_prob,recommended,spec_prior
great_pret,improper,completed,more,,inconv,nonprob,not_recom,not_recom
pretentious,improper,incomplete,1,critical,convenient,nonprob,not_recom,not_recom
pretentious,very_crit,completed,more,critical,convenient,nonprob,recommended,spec_prior
usual,improper,completed,3,less_conv,convenient,slightly_prob,priority,priority
usual,very_crit,completed,more,less_conv,inconv,problematic,recommended,spec_prior
pretentious,very_crit,foster,3,less_conv,convenient,nonprob,not_recom,not_recom
usual,improper,complete,1,convenient,convenient,slightly_prob,priority,priority
usual,critical,completed,1,less_conv,convenient,nonprob,recommended,priority
great_pret,very_crit,completed,3,convenient,convenient,nonprob,priority,spec_prior
pretentious,very_crit,incomplete,more,convenient,convenient,nonprob,recommended,priority
pretentious,very_crit,foster,more,convenient,inconv,slightly_prob,not_recom,not_recom
pretentious,proper,completed,2,critical,convenient,slightly_prob,not_recom,not_recom
pretentious,very_crit,complete,more,less_conv,convenient,slightly_prob,not_recom,not_recom
great_pret,very_crit,completed,more,less_conv,inconv,problematic,priority,spec_prior
pretentious,less_proper,foster,1,less_conv,convenient,slightly_prob,not_recom,not_recom
pretentious,improper,foster,2,critical,convenient,nonprob,not_recom,not_recom
great_pret,very_crit,completed,more,convenient,convenient,nonprob,recommended,priority
great_pret,improper,complete,3,critical,convenient,problematic,not_recom,not_recom
usual,proper,completed,1,critical,inconv,problematic,recommended,priority
great_pret,critical,foster,2,less_conv,inconv,problematic,not_recom,not_recom
pretentious,critical,completed,more,critical,convenient,problematic,priority,spec_prior
great_pret,improper,foster,1,critical,convenient,problematic,not_recom,not_recom
pretentious,proper,completed,1,less_conv,convenient,slightly_prob,not_recom,not_recom
pretentious,proper,completed,more,convenient,inconv,nonprob,priority,priority
great_pret,less_proper,completed,1,less_conv,inconv,nonprob,priority,priority
great_pret,critical,foster,1,critical,inconv,slightly_prob,recommended,spec_prior
great_pret,very_crit,incomplete,more,less_conv,convenient,slightly_prob,not_recom,not_recom
pretentious,proper,foster,3,less_conv,inconv,slightly_prob,priority,priority
usual,proper,complete,1,critical,convenient,slightly_prob,not_recom,not_recom
pretentious,improper,foster,1,critical,inconv,nonprob,priority,spec_prior
pretentious,less_proper,incomplete,2,convenient,inconv,slightly_prob,priority,priority
pretentious,very_crit,complete,2,less_conv,convenient,slightly_prob,priority,spec_prior
great_pret,improper,complete,more,convenient,convenient,problematic,recommended,spec_prior
great_pret,critical,completed,3,critical,inconv,nonprob,priority,spec_prior
great_pret,improper,incomplete,1,less_conv,inconv,nonprob,recommended,priority
usual,less_proper,complete,more,less_conv,convenient,problematic,not_recom,not_recom
usual,proper,foster,3,convenient,inconv,problematic,not_recom,not_recom
pretentious,improper,completed,1,less_conv,convenient,problematic,priority,priority
great_pret,improper,incomplete,more,critical,inconv,nonprob,priority,spec_prior
great_pret,proper,incomplete,3,less_conv,convenient,slightly_prob,recommended,priority
pretentious,less_proper,incomplete,3,critical,convenient,nonprob,priority,priority
usual,proper,completed,2,critical,convenient,nonprob,not_recom,not_recom
usual,very_crit,incomplete,2,convenient,inconv,problematic,priority,spec_prior
usual,very_crit,complete,1,critical,convenient,nonprob,not_recom,not_recom
usual,critical,completed,1,convenient,convenient,slightly_prob,not_recom,not_recom
pretentious,less_proper,completed,1,less_conv,inconv,slightly_prob,priority,priority
usual,proper,incomplete,more,less_conv,convenient,nonprob,not_recom,not_recom
pretentious,very_crit,foster,more,convenient,inconv,problematic,recommended,spec_prior
great_pret,critical,complete,more,critical,inconv,problematic,recommended,spec_prior
great_pret,improper,completed,2,less_conv,convenient,nonprob,recommended,priority
usual,less_proper,completed,3,convenient,inconv,slightly_prob,not_recom,not_recom
pretentious,less_proper,completed,more,critical,inconv,problematic,priority,priority
,proper,complete,2,less_conv,convenient,nonprob,priority,priority
great_pret,less_proper,foster,3,convenient,inconv,problematic,not_recom,not_recom
great_pret,proper,completed,2,less_conv,convenient,nonprob,not_recom,not_recom
usual,critical,completed,more,critical,convenient,slightly_prob,not_recom,not_recom
usual,very_crit,complete,more,less_conv,convenient,problematic,not_recom,not_recom
pretentious,critical,complete,3,critical,inconv,problematic,not_recom,not_recom
pretentious,proper,complete,3,critical,inconv,problematic,priority,priority
pretentious,critical,incomplete,3,critical,inconv,slightly_prob,recommended,spec_prior
great_pret,proper,complete,3,critical,convenient,nonprob,priority,spec_prior
great_pret,critical,foster,2,convenient,convenient,problematic,recommended,spec_prior
usual,proper,incomplete,,critical,inconv,slightly_prob,recommended,priority
usual,improper,complete,2,convenient,convenient,slightly_prob,priority,priority
pretentious,improper,complete,3,convenient,convenient,slightly_prob,not_recom,not_recom
pretentious,less_proper,complete,1,critical,convenient,slightly_prob,priority,priority
great_pret,less_proper,incomplete,1,critical,convenient,slightly_prob,not_recom,not_recom
usual,proper,complete,3,critical,inconv,problematic,not_recom,not_recom
pretentious,critical,foster,3,convenient,convenient,nonprob,recommended,priority
pretentious,improper,complete,2,convenient,convenient,slightly_prob,priority,priority
usual,critical,complete,2,less_conv,convenient,nonprob,priority,priority
usual,critical,foster,more,critical,inconv,problematic,priority,spec_prior
pretentious,less_proper,complete,2,convenient,convenient,nonprob,priority,priority
pretentious,improper,complete,2,less_conv,convenient,problematic,not_recom,not_recom
pretentious,critical,complete,more,less_conv,convenient,problematic,priority,spec_prior
pretentious,less_proper,foster,3,less_conv,inconv,slightly_prob,not_recom,not_recom
usual,improper,complete,more,convenient,inconv,problematic,priority,priority
usual,less_proper,complete,3,convenient,convenient,slightly_prob,recommended,very_recom
great_pret,improper,complete,2,less_conv,inconv,problematic,not_recom,not_recom
usual,proper,completed,1,less_conv,inconv,slightly_prob,recommended,very_recom
usual,very_crit,incomplete,more,less_conv,convenient,problematic,recommended,spec_prior
pretentious,less_proper,complete,1,less_conv,inconv,problematic,not_recom,not_recom
usual,very_crit,complete,2,critical,convenient,problematic,recommended,spec_prior
usual,critical,foster,more,less_conv,convenient,problematic,recommended,spec_prior
usual,very_crit,foster,3,critical,inconv,problematic,priority,spec_prior
great_pret,critical,completed,1,convenient,convenient,nonprob,recommended,priority
pretentious,proper,completed,more,critical,convenient,problematic,priority,priority
pretentious,proper,complete,2,critical,inconv,slightly_prob,not_recom,not_recom
pretentious,very_crit,foster,1,convenient,inconv,nonprob,priority,spec_prior
usual,very_crit,complete,2,convenient,convenient,slightly_prob,not_recom,not_recom
usual,proper,incomplete,,less_conv,inconv,nonprob,recommended,priority
usual,less_proper,incomplete,3,critical,inconv,slightly_prob,priority,priority
pretentious,very_crit,complete,more,convenient,inconv,slightly_prob,priority,spec_prior
great_pret,improper,complete,more,critical,convenient,slightly_prob,not_recom,not_recom
pretentious,very_crit,foster,more,convenient,convenient,nonprob,priority,spec_prior
great_pret,less_proper,complete,3,convenient,inconv,slightly_prob,recommended,priority
usual,very_crit,completed,3,convenient,convenient,nonprob,priority,spec_prior
usual,critical,completed,1,critical,convenient,slightly_prob,not_recom,not_recom
pretentious,less_proper,complete,3,convenient,convenient,problematic,recommended,priority
usual,critical,complete,1,less_conv,inconv,slightly_prob,recommended,priority
usual,less_proper,complete,more,less_conv,inconv,slightly_prob,recommended,priority
usual,proper,complete,,less_conv,,nonprob,not_recom,not_recom
usual,improper,foster,2,convenient,convenient,slightly_prob,priority,priority
usual,critical,completed,3,less_conv,inconv,slightly_prob,recommended,priority
great_pret,proper,incomplete,3,convenient,inconv,slightly_prob,recommended,priority
pretentious,less_proper,complete,3,critical,convenient,problematic,priority,priority
great_pret,improper,incomplete,2,less_conv,convenient,slightly_prob,priority,spec_prior
usual,very_crit,incomplete,3,less_conv,convenient,problematic,not_recom,not_recom
usual,very_crit,completed,2,critical,inconv,nonprob,priority,spec_prior
pretentious,very_crit,incomplete,2,critical,convenient,problematic,not_recom,not_recom
great_pret,critical,foster,1,convenient,inconv,slightly_prob,not_recom,not_recom
great_pret,proper,foster,more,less_conv,inconv,slightly_prob,not_recom,not_recom
usual,less_proper,foster,1,critical,convenient,slightly_prob,recommended,priority
usual,improper,completed,3,convenient,inconv,problematic,priority,priority
pretentious,critical,completed,1,critical,convenient,slightly_prob,not_recom,not_recom
great_pret,very_crit,completed,more,less_conv,convenient,slightly_prob,recommended,spec_prior
pretentious,less_proper,incomplete,1,convenient,inconv,slightly_prob,not_recom,not_recom
usual,critical,complete,more,critical,inconv,slightly_prob,recommended,priority
pretentious,improper,complete,2,critical,inconv,nonprob,not_recom,not_recom
usual,less_proper,complete,2,less_conv,inconv,problematic,recommended,priority
pretentious,improper,complete,2,convenient,convenient,nonprob,recommended,priority
pretentious,less_proper,complete,1,critical,convenient,nonprob,recommended,very_recom
great_pret,very_crit,incomplete,2,less_conv,convenient,nonprob,recommended,spec_prior
usual,less_proper,complete,2,convenient,convenient,problematic,priority,priority
pretentious,critical,incomplete,3,less_conv,convenient,slightly_prob,recommended,spec_prior
great_pret,critical,complete,1,less_conv,inconv,slightly_prob,recommended,priority
pretentious,very_crit,completed,3,less_conv,inconv,slightly_prob,priority,spec_prior
usual,less_proper,foster,1,less_conv,inconv,problematic,priority,priority
usual,less_proper,foster,2,less_conv,convenient,slightly_prob,not_recom,not_recom
pretentious,critical,foster,more,less_conv,inconv,slightly_prob,priority,spec_prior
great_pret,critical,completed,more,convenient,inconv,problematic,priority,spec_prior
great_pret,less_proper,incomplete,2,convenient,inconv,slightly_prob,not_recom,not_recom
pretentious,proper,foster,more,convenient,convenient,nonprob,priority,priority
great_pret,improper,completed,more,convenient,inconv,slightly_prob,priority,spec_prior
usual,less_proper,incomplete,1,convenient,inconv,nonprob,recommended,very_recom
great_pret,very_crit,complete,3,convenient,inconv,slightly_prob,not_recom,not_recom
great_pret,improper,completed,1,critical,convenient,problematic,not_recom,not_recom
great_pret,critical,completed,2,less_conv,inconv,nonprob,recommended,priority
great_pret,improper,foster,more,convenient,convenient,nonprob,priority,spec_prior
usual,critical,foster,1,less_conv,,nonprob,priority,spec_prior
great_pret,improper,foster,3,less_conv,convenient,nonprob,not_recom,not_recom
great_pret,improper,complete,more,less_conv,inconv,nonprob,recommended,spec_prior
great_pret,proper,incomplete,more,less_conv,convenient,slightly_prob,priority,spec_prior
great_pret,proper,foster,1,critical,convenient,nonprob,not_recom,not_recom
great_pret,proper,incomplete,1,less_conv,convenient,problematic,not_recom,not_recom
great_pret,critical,foster,2,less_conv,convenient,nonprob,not_recom,not_recom
usual,very_crit,incomplete,more,less_conv,convenient,nonprob,not_recom,not_recom
usual,less_proper,completed,more,convenient,convenient,nonprob,not_recom,not_recom
usual,very_crit,foster,3,less_conv,convenient,nonprob,priority,spec_prior
pretentious,critical,incomplete,1,critical,convenient,problematic,priority,spec_prior
great_pret,critical,complete,3,critical,convenient,slightly_prob,priority,spec_prior
great_pret,less_proper,foster,more,critical,inconv,nonprob,not_recom,not_recom
pretentious,critical,incomplete,more,critical,convenient,problematic,priority,spec_prior
usual,critical,completed,more,less_conv,convenient,nonprob,not_recom,not_recom
usual,very_crit,complete,3,less_conv,inconv,nonprob,not_recom,not_recom
great_pret,less_proper,foster,1,less_conv,convenient,nonprob,recommended,priority
great_pret,very_crit,completed,2,less_conv,convenient,problematic,priority,spec_prior
pretentious,proper,foster,more,convenient,inconv,problematic,priority,priority
pretentious,critical,complete,2,less_conv,convenient,problematic,priority,spec_prior
great_pret,less_proper,completed,2,convenient,inconv,nonprob,recommended,priority
usual,improper,complete,more,convenient,convenient,nonprob,recommended,very_recom
pretentious,improper,complete,more,less_conv,inconv,slightly_prob,priority,spec_prior
pretentious,improper,completed,1,critical,inconv,slightly_prob,priority,spec_prior
,proper,complete,more,convenient,inconv,slightly_prob,priority,priority
pretentious,very_crit,incomplete,1,critical,inconv,slightly_prob,not_recom,not_recom
usual,improper,foster,more,convenient,convenient,nonprob,priority,priority
great_pret,critical,completed,3,convenient,inconv,slightly_prob,recommended,spec_prior
great_pret,improper,complete,more,convenient,inconv,problematic,priority,spec_prior
great_pret,improper,,1,convenient,convenient,nonprob,not_recom,not_recom
usual,less_proper,complete,more,convenient,inconv,problematic,not_recom,not_recom
pretentious,improper,incomplete,1,less_conv,inconv,problematic,recommended,priority
usual,less_proper,complete,1,less_conv,inconv,slightly_prob,not_recom,not_recom
pretentious,proper,foster,3,less_conv,convenient,slightly_prob,not_recom,not_recom
great_pret,proper,complete,2,critical,convenient,problematic,recommended,spec_prior
usual,proper,complete,1,convenient,,nonprob,not_recom,not_recom
usual,proper,foster,1,critical,convenient,nonprob,not_recom,not_recom
great_pret,very_crit,foster,3,critical,convenient,problematic,priority,spec_prior
great_pret,critical,completed,more,convenient,inconv,problematic,recommended,spec_prior
great_pret,proper,foster,3,critical,inconv,slightly_prob,priority,spec_prior
great_pret,very_crit,incomplete,1,critical,inconv,slightly_prob,not_recom,not_recom
pretentious,critical,foster,more,less_conv,convenient,problematic,recommended,spec_prior
pretentious,critical,completed,3,convenient,inconv,nonprob,priority,spec_prior
great_pret,proper,completed,2,critical,inconv,nonprob,not_recom,not_recom
usual,very_crit,foster,2,convenient,convenient,problematic,recommended,spec_prior
great_pret,less_proper,foster,2,critical,inconv,problematic,priority,spec_prior
pretentious,critical,completed,3,less_conv,convenient,slightly_prob,priority,spec_prior
great_pret,very_crit,incomplete,1,less_conv,inconv,problematic,recommended,spec_prior
pretentious,less_proper,complete,more,critical,inconv,slightly_prob,priority,priority
pretentious,less_proper,incomplete,2,critical,inconv,nonprob,not_recom,not_recom
great_pret,critical,incomplete,more,critical,convenient,problematic,not_recom,not_recom
great_pret,less_proper,foster,more,convenient,inconv,nonprob,priority,spec_prior
usual,improper,foster,3,convenient,convenient,nonprob,priority,priority
usual,less_proper,incomplete,more,critical,inconv,problematic,recommended,priority
great_pret,improper,foster,1,convenient,convenient,slightly_prob,not_recom,not_recom
pretentious,proper,completed,2,critical,convenient,nonprob,recommended,priority
usual,improper,incomplete,1,critical,inconv,slightly_prob,not_recom,not_recom
great_pret,improper,completed,2,critical,inconv,problematic,priority,spec_prior
usual,critical,complete,2,convenient,convenient,problematic,not_recom,not_recom
great_pret,improper,foster,2,less_conv,convenient,problematic,priority,spec_prior
usual,less_proper,completed,1,critical,inconv,problematic,recommended,priority
usual,proper,completed,3,critical,convenient,slightly_prob,priority,priority
great_pret,critical,completed,3,less_conv,convenient,problematic,recommended,spec_prior
pretentious,proper,complete,3,critical,inconv,slightly_prob,priority,priority
usual,proper,foster,3,critical,convenient,problematic,not_recom,not_recom
usual,very_crit,completed,2,convenient,convenient,nonprob,not_recom,not_recom
great_pret,critical,foster,2,critical,inconv,slightly_prob,priority,spec_prior
usual,improper,complete,3,less_conv,inconv,nonprob,priority,priority
usual,less_proper,completed,1,critical,inconv,nonprob,recommended,priority
usual,very_crit,complete,2,convenient,convenient,problematic,not_recom,not_recom
great_pret,critical,incomplete,3,convenient,convenient,slightly_prob,recommended,priority
usual,very_crit,foster,1,less_conv,inconv,problematic,recommended,spec_prior
pretentious,proper,foster,3,critical,inconv,problematic,not_recom,not_recom
usual,proper,incomplete,1,convenient,convenient,slightly_prob,priority,priority
usual,very_crit,incomplete,1,critical,convenient,slightly_prob,recommended,spec_prior
usual,improper,complete,3,less_conv,convenient,slightly_prob,recommended,priority
usual,very_crit,completed,2,less_conv,inconv,slightly_prob,priority,spec_prior
usual,proper,foster,3,less_conv,inconv,slightly_prob,not_recom,not_recom
pretentious,critical,completed,more,less_conv,convenient,problematic,priority,spec_prior
usual,less_proper,incomplete,3,convenient,inconv,nonprob,recommended,priority
,proper,complete,more,less_conv,convenient,slightly_prob,priority,priority
usual,very_crit,incomplete,more,convenient,inconv,slightly_prob,recommended,spec_prior
great_pret,critical,completed,more,convenient,inconv,slightly_prob,recommended,spec_prior
usual,proper,,3,critical,convenient,nonprob,not_recom,not_recom
usual,less_proper,foster,2,less_conv,inconv,nonprob,recommended,priority
pretentious,improper,complete,2,critical,inconv,nonprob,recommended,priority
usual,critical,incomplete,1,less_conv,convenient,slightly_prob,not_recom,not_recom
great_pret,critical,completed,more,less_conv,convenient,problematic,not_recom,not_recom
pretentious,less_proper,incomplete,2,critical,convenient,slightly_prob,not_recom,not_recom
pretentious,less_proper,completed,3,critical,convenient,nonprob,priority,priority
usual,improper,completed,1,less_conv,inconv,problematic,not_recom,not_recom
usual,less_proper,completed,2,less_conv,inconv,nonprob,not_recom,not_recom
great_pret,critical,completed,1,convenient,convenient,slightly_prob,recommended,priority
pretentious,very_crit,complete,2,convenient,convenient,slightly_prob,not_recom,not_recom
pretentious,less_proper,foster,3,less_conv,convenient,nonprob,recommended,priority
pretentious,less_proper,complete,1,critical,convenient,slightly_prob,not_recom,not_recom
great_pret,less_proper,completed,more,critical,convenient,slightly_prob,priority,spec_prior
pretentious,very_crit,complete,3,convenient,convenient,nonprob,not_recom,not_recom
usual,less_proper,incomplete,2,less_conv,inconv,slightly_prob,priority,priority
great_pret,less_proper,incomplete,1,convenient,inconv,slightly_prob,recommended,priority
great_pret,less_proper,completed,1,convenient,convenient,problematic,recommended,priority
usual,proper,foster,more,less_conv,inconv,slightly_prob,priority,priority
usual,very_crit,incomplete,3,critical,convenient,problematic,recommended,spec_prior
pretentious,very_crit,foster,3,less_conv,convenient,problematic,recommended,spec_prior
usual,improper,foster,3,critical,convenient,slightly_prob,priority,priority
pretentious,improper,completed,2,critical,inconv,slightly_prob,not_recom,not_recom
pretentious,critical,complete,more,critical,inconv,problematic,recommended,spec_prior
great_pret,critical,complete,3,less_conv,convenient,problematic,recommended,spec_prior
great_pret,improper,incomplete,more,less_conv,inconv,nonprob,recommended,spec_prior
usual,very_crit,complete,2,convenient,convenient,nonprob,priority,spec_prior
pretentious,critical,completed,more,critical,inconv,nonprob,not_recom,not_recom
great_pret,very_crit,foster,1,convenient,convenient,nonprob,recommended,priority
usual,proper,incomplete,more,convenient,inconv,,recommended,priority
great_pret,critical,complete,more,critical,convenient,problematic,priority,spec_prior
great_pret,very_crit,complete,2,convenient,inconv,nonprob,not_recom,not_recom
pretentious,proper,complete,3,critical,convenient,problematic,priority,priority
great_pret,improper,foster,3,convenient,convenient,nonprob,priority,spec_prior
great_pret,improper,incomplete,1,convenient,inconv,slightly_prob,priority,spec_prior
great_pret,less_proper,complete,3,convenient,convenient,problematic,priority,priority
usual,very_crit,incomplete,1,critical,convenient,nonprob,priority,spec_prior
usual,less_proper,complete,3,critical,inconv,problematic,not_recom,not_recom
pretentious,very_crit,incomplete,2,less_conv,convenient,nonprob,priority,spec_prior
pretentious,very_crit,completed,3,convenient,inconv,nonprob,priority,spec_prior
pretentious,very_crit,completed,more,convenient,convenient,slightly_prob,recommended,priority
pretentious,proper,completed,1,less_conv,convenient,slightly_prob,priority,priority
usual,critical,complete,2,convenient,convenient,problematic,priority,priority
pretentious,very_crit,foster,1,less_conv,convenient,problematic,priority,spec_prior
pretentious,very_crit,completed,2,convenient,convenient,problematic,recommended,spec_prior
usual,improper,completed,2,critical,inconv,problematic,priority,priority
usual,less_proper,foster,2,critical,inconv,nonprob,recommended,priority
great_pret,very_crit,foster,more,convenient,inconv,nonprob,recommended,spec_prior
great_pret,improper,incomplete,more,convenient,inconv,slightly_prob,priority,spec_prior
great_pret,less_proper,completed,3,critical,convenient,slightly_prob,priority,spec_prior
usual,improper,complete,3,convenient,convenient,slightly_prob,priority,priority
great_pret,proper,incomplete,more,less_conv,,slightly_prob,recommended,priority
pretentious,very_crit,complete,more,convenient,convenient,slightly_prob,priority,spec_prior
great_pret,proper,foster,more,less_conv,inconv,slightly_prob,priority,spec_prior
pretentious,proper,complete,1,critical,inconv,slightly_prob,recommended,very_recom
usual,proper,completed,3,critical,convenient,nonprob,priority,priority
usual,critical,completed,2,less_conv,inconv,problematic,priority,priority
usual,improper,complete,2,convenient,inconv,nonprob,priority,priority
great_pret,less_proper,foster,more,critical,convenient,nonprob,not_recom,not_recom
great_pret,proper,completed,more,critical,inconv,slightly_prob,priority,spec_prior
usual,less_proper,completed,3,less_conv,convenient,slightly_prob,recommended,priority
usual,very_crit,foster,3,less_conv,convenient,slightly_prob,not_recom,not_recom
great_pret,less_proper,complete,more,less_conv,convenient,problematic,not_recom,not_recom
usual,critical,incomplete,more,critical,inconv,nonprob,not_recom,not_recom
pretentious,critical,complete,more,less_conv,inconv,nonprob,not_recom,not_recom
great_pret,less_proper,foster,more,critical,convenient,slightly_prob,priority,spec_prior
great_pret,critical,completed,1,critical,inconv,slightly_prob,priority,spec_prior
pretentious,improper,incomplete,more,less_conv,inconv,problematic,recommended,spec_prior
pretentious,very_crit,complete,2,less_conv,convenient,slightly_prob,recommended,priority
usual,critical,complete,more,less_conv,inconv,problematic,priority,spec_prior
usual,proper,foster,1,less_conv,inconv,nonprob,recommended,priority
great_pret,less_proper,incomplete,3,critical,convenient,slightly_prob,priority,spec_prior
pretentious,critical,complete,1,convenient,convenient,slightly_prob,priority,priority
usual,critical,completed,3,less_conv,convenient,slightly_prob,not_recom,not_recom
usual,less_proper,completed,more,less_conv,convenient,nonprob,priority,priority
pretentious,proper,complete,1,less_conv,inconv,slightly_prob,not_recom,not_recom
pretentious,proper,foster,2,less_conv,convenient,nonprob,recommended,priority
great_pret,proper,complete,3,less_conv,inconv,slightly_prob,recommended,priority
great_pret,proper,completed,2,critical,convenient,problematic,recommended,spec_prior
usual,very_crit,completed,1,critical,convenient,slightly_prob,priority,spec_prior
