,Parents' Occupation,Child's Nursery,Form of the family,Children,Housing condition,Finance standing,Social condition,Health condition,Final Evaluation
6250,0,4,1,0,2,1,0,0,0
6251,0,2,2,3,1,1,2,1,4
6252,1,4,2,2,1,0,1,1,2
6253,0,3,0,3,0,0,0,0,0
6254,0,4,2,3,1,0,1,0,0
6255,2,3,2,1,0,0,1,0,0
6256,2,4,2,0,1,1,0,1,3
6257,1,2,2,3,1,1,2,0,0
6258,2,2,0,2,1,1,2,0,0
6259,1,0,0,0,0,1,2,2,4
6261,0,3,0,2,1,1,1,2,4
6262,0,4,0,1,2,0,2,1,3
6263,0,4,0,3,2,1,2,2,3
6264,2,3,2,0,2,1,2,2,3
6265,0,2,0,1,2,1,2,2,4
6266,1,4,1,0,1,1,0,1,3
6267,0,2,0,0,2,1,0,1,4
6268,1,2,1,1,1,0,1,2,4
6269,0,1,2,2,0,1,2,0,0
6271,2,0,2,3,1,1,2,0,0
6273,1,1,1,0,0,1,0,1,4
6274,2,0,2,3,2,1,2,0,0
6275,1,1,1,2,0,0,1,0,0
6276,2,0,2,1,0,0,2,2,4
6277,1,0,2,2,2,0,2,1,3
6278,2,2,0,1,1,0,0,1,3
6279,1,3,1,1,0,1,1,2,3
6280,2,1,2,0,0,1,1,0,0
6281,1,2,1,3,1,1,1,0,0
6282,1,3,1,1,1,1,1,1,3
6283,0,1,0,2,2,0,0,2,4
6284,1,3,2,3,0,0,2,0,0
6285,1,2,2,1,0,1,2,0,0
6286,0,1,1,0,1,0,0,2,4
6287,2,3,2,0,2,0,1,2,3
6288,0,1,2,0,1,1,0,0,0
6289,0,4,2,3,0,0,2,2,4
6290,1,2,0,3,1,1,2,0,0
6291,0,0,2,0,0,1,1,2,4
6292,1,3,1,2,1,0,2,2,3
6293,1,0,1,2,2,0,0,2,4
6294,2,2,1,2,2,1,2,2,3
6295,2,3,0,1,1,1,2,0,0
6296,1,3,2,0,1,1,1,0,0
6297,1,2,1,1,0,0,1,0,0
6298,0,4,0,2,1,0,2,0,0
6299,1,2,2,3,1,1,0,1,4
6300,1,1,2,1,1,0,2,1,3
6301,1,0,0,1,0,1,2,2,4
6302,2,1,2,3,1,0,2,2,4
6303,2,1,0,3,2,0,0,1,4
6304,1,3,2,3,2,0,1,1,3
6305,2,3,2,0,0,0,1,1,3
6306,2,4,1,3,0,1,2,2,3
6307,0,2,1,2,1,1,2,1,4
6308,1,1,2,1,2,0,0,2,4
6309,2,4,1,3,0,0,1,2,3
6310,0,3,1,1,1,1,2,2,4
6311,1,4,1,1,0,1,1,2,3
6312,2,2,0,2,1,1,0,2,3
6313,0,2,0,3,2,0,0,2,4
6314,1,1,2,0,2,0,2,2,4
6315,1,3,2,3,2,1,0,2,3
6316,2,3,2,1,2,1,2,1,2
6317,0,0,2,0,0,1,2,1,4
6318,2,0,2,3,0,1,0,1,4
6319,0,4,1,2,1,1,0,2,4
6320,0,0,0,3,2,1,2,2,4
6321,2,4,2,0,1,0,2,0,0
6322,2,1,1,2,2,1,0,2,3
6323,0,3,2,2,2,0,1,1,3
6324,2,4,1,2,2,1,1,0,0
6325,2,3,2,1,1,0,0,0,0
6326,1,2,2,0,0,0,1,1,3
6327,2,3,0,3,1,1,1,2,3
6328,1,1,2,3,0,0,0,0,0
6329,1,1,1,2,1,1,2,0,0
6331,1,3,1,0,1,1,2,1,3
6332,1,4,1,0,0,1,0,2,3
6333,2,1,0,1,2,1,0,0,0
6334,0,0,1,0,0,1,1,2,4
6335,1,3,2,2,2,0,1,2,3
6336,1,3,2,0,0,1,0,1,3
6337,1,4,2,0,0,1,1,0,0
6338,1,1,0,2,1,0,1,1,4
6339,2,1,2,1,2,0,1,2,3
6340,0,3,0,1,2,1,0,0,0
6341,0,3,0,2,0,0,0,2,4
6342,2,4,2,1,1,0,0,2,3
6343,2,2,0,0,0,0,1,1,3
6344,2,2,2,0,1,1,2,1,3
6345,0,1,0,2,0,0,0,0,0
6346,1,0,0,1,2,1,0,2,4
6347,0,3,2,2,1,0,0,2,3
6348,0,1,0,1,2,0,1,2,4
6349,1,0,2,1,2,0,0,2,4
6350,1,2,1,3,2,0,2,1,3
6351,1,2,2,2,2,1,0,1,3
6352,1,2,2,3,2,0,2,2,4
6353,0,2,1,0,2,0,1,2,4
6354,2,2,0,1,2,1,0,0,0
6355,0,2,0,1,1,0,0,2,4
6356,1,3,1,3,0,0,2,1,3
6357,0,0,1,1,1,0,0,0,0
6358,0,0,1,3,2,1,0,0,0
6359,0,0,0,2,1,1,2,2,4
6360,1,1,1,3,1,0,2,2,4
6361,2,4,2,1,0,0,0,0,0
6362,0,2,2,1,0,0,1,0,0
6363,0,0,0,2,1,1,0,1,4
6364,0,2,2,2,2,0,0,0,0
6366,2,2,2,2,1,1,2,0,0
6367,2,2,0,3,1,1,1,0,0
6368,1,2,2,2,2,0,2,1,3
6369,0,0,1,2,0,1,0,2,4
6371,0,4,2,1,0,1,0,2,3
6372,1,3,0,1,0,1,1,2,3
6373,1,4,2,1,0,0,1,2,3
6374,1,3,2,1,2,0,1,1,2
6375,0,0,2,1,1,1,1,0,0
6376,1,3,0,1,0,1,2,1,3
6377,0,3,2,0,0,1,2,2,4
6378,2,0,0,1,2,0,2,2,4
6379,1,3,2,1,2,1,0,0,0
6381,2,2,0,1,2,0,1,2,3
6382,2,0,0,0,0,1,1,0,0
6383,0,1,1,3,2,1,2,0,0
6384,1,1,2,3,1,1,2,2,4
6385,2,1,1,2,2,0,0,2,4
6386,0,1,2,1,0,1,0,1,4
6387,1,2,0,3,0,0,0,1,4
6388,2,1,0,3,2,1,1,1,3
6389,0,1,1,2,2,0,0,0,0
6390,1,4,1,2,0,1,2,2,3
6391,2,3,2,1,2,1,0,0,0
6392,0,1,2,0,0,1,1,1,4
6393,2,3,1,0,1,0,2,0,0
6394,1,1,2,0,2,0,0,1,4
6395,2,0,2,1,2,1,2,0,0
6396,2,2,0,0,2,0,1,1,3
6397,0,2,2,2,2,0,1,0,0
6398,1,2,1,3,2,1,0,0,0
6399,1,2,1,0,0,1,0,1,4
6400,2,3,1,2,0,1,1,2,3
6401,2,1,2,3,0,0,2,2,4
6402,2,4,2,1,1,1,1,0,0
6403,1,2,0,0,2,1,2,0,0
6404,1,3,2,1,0,0,0,0,0
6405,1,2,2,3,1,0,2,2,4
6406,2,3,2,2,2,0,0,2,3
6407,0,2,2,2,2,1,0,2,4
6408,0,1,0,3,0,0,1,0,0
6409,0,4,2,2,2,0,2,1,3
6410,0,3,2,3,2,1,1,2,3
6411,1,4,2,0,2,1,2,2,3
6412,1,3,2,0,0,0,1,1,3
6413,0,1,0,0,1,1,0,0,0
6414,1,1,0,2,0,0,0,2,4
6415,2,1,0,2,0,1,0,1,4
6416,2,2,1,2,2,0,2,0,0
6417,0,2,0,0,0,1,0,1,4
6418,2,2,1,2,0,1,0,1,3
6419,0,3,2,0,2,1,0,2,3
6420,0,0,2,1,2,1,1,0,0
6421,0,3,2,1,0,0,2,0,0
6422,0,2,1,0,1,0,2,2,4
6423,2,3,0,2,0,1,2,0,0
6424,2,2,2,1,2,1,1,1,2
6425,0,0,2,2,2,0,1,2,4
6426,1,3,0,3,1,0,1,2,3
6427,1,1,1,0,1,0,2,1,4
6428,1,3,0,1,0,0,0,2,3
6429,0,4,0,1,2,0,1,1,3
6430,0,3,2,2,0,1,0,0,0
6431,0,1,1,0,1,1,1,0,0
6432,2,1,2,0,2,0,2,1,3
6433,0,1,1,0,1,0,1,0,0
6434,1,1,2,3,2,1,0,0,0
6435,0,1,1,2,1,0,0,1,4
6436,0,4,2,1,1,1,0,2,3
6437,0,2,1,3,2,1,0,1,4
6438,2,1,0,0,2,0,2,0,0
6439,2,3,0,2,1,0,2,0,0
6441,0,3,1,1,0,0,1,0,0
6442,1,3,1,2,2,0,1,2,3
6443,1,0,2,1,2,0,2,0,0
6444,2,2,1,1,2,0,1,0,0
6445,0,0,2,3,0,1,1,2,4
6446,1,4,1,2,0,0,2,0,0
6447,1,3,1,0,0,1,1,0,0
6448,1,2,2,3,1,1,2,2,4
6449,0,0,0,1,2,0,0,1,4
6450,0,4,2,2,1,0,0,0,0
6451,0,3,2,0,2,0,0,2,4
6452,1,0,1,2,0,0,2,1,4
6453,1,2,2,3,1,1,2,0,0
6454,0,3,0,2,1,0,0,1,4
6455,1,1,2,3,2,1,1,1,3
6456,0,2,2,2,1,1,0,1,4
6457,0,3,2,2,0,0,0,2,4
6458,1,0,2,1,0,1,0,2,4
6459,1,4,2,3,1,1,1,0,0
6460,0,3,0,1,0,0,0,0,0
6461,1,0,2,2,2,1,1,2,4
6462,1,0,2,0,2,1,1,2,4
6463,1,0,2,2,1,0,1,0,0
6464,1,0,2,1,1,1,1,2,4
6465,0,0,2,3,0,0,2,1,4
6466,2,4,2,0,0,1,2,0,0
6467,1,1,2,3,2,1,0,1,4
6468,2,1,0,3,1,0,0,2,4
6469,1,3,1,2,1,1,0,0,0
6470,2,4,2,1,1,1,0,0,0
6471,2,4,0,1,0,1,2,2,3
6472,2,0,2,2,2,1,0,2,4
6473,2,3,2,3,2,1,0,1,3
6474,0,4,1,2,1,0,0,0,0
6475,0,4,0,3,2,0,2,2,4
6476,2,4,2,3,1,1,0,0,0
6477,0,4,0,2,0,1,2,2,4
6478,2,2,1,3,2,1,2,1,2
6479,2,1,2,2,2,0,0,1,3
6480,1,1,0,0,2,0,0,1,4
6481,2,1,2,2,2,1,2,2,3
6482,1,0,1,1,0,0,2,2,4
6483,0,0,2,3,2,1,2,0,0
6484,0,2,1,1,2,0,2,2,4
6485,2,3,0,1,0,0,0,0,0
6486,1,1,0,1,0,1,0,0,0
6487,1,1,2,1,2,1,2,1,3
6488,1,2,2,2,0,0,0,0,0
6489,2,3,1,3,1,1,0,1,3
6490,0,1,1,2,0,1,2,0,0
6491,1,3,2,1,0,0,0,2,3
6492,1,1,0,0,0,0,0,2,4
6493,2,2,2,0,0,1,0,1,3
6494,0,4,2,0,2,0,1,1,3
6495,0,2,2,0,0,1,0,1,4
6496,0,3,2,1,2,0,2,2,3
6497,0,3,1,3,1,1,0,2,4
6498,2,3,2,2,1,0,1,2,3
6499,2,4,2,2,2,1,0,2,3
6500,1,2,2,1,2,1,1,0,0
6501,0,1,2,3,1,0,0,0,0
6502,1,3,2,3,2,1,0,2,3
6503,1,0,2,2,0,1,1,0,0
6504,1,3,1,3,1,1,1,2,3
6505,2,3,2,3,0,1,1,1,3
6506,0,1,2,3,0,1,0,1,4
6507,2,4,2,0,0,0,0,2,3
6508,0,2,2,1,2,0,2,1,3
6509,1,3,0,3,2,0,2,0,0
6510,2,0,2,1,1,0,0,2,4
6511,0,2,0,1,0,0,1,2,4
6512,0,0,2,2,0,0,0,2,4
6513,2,1,2,1,2,0,1,0,0
6514,1,0,0,3,0,1,0,2,4
6515,0,2,2,1,1,1,0,0,0
6516,2,4,1,2,0,1,1,0,0
6518,2,0,2,2,2,1,0,1,4
6519,2,2,2,1,0,0,2,2,3
6520,2,1,0,3,1,0,1,2,4
6521,1,0,1,0,2,1,1,0,0
6522,2,1,0,2,0,1,0,2,4
6523,2,3,2,1,0,1,0,1,3
6524,0,2,1,0,0,0,2,1,4
6525,2,0,1,1,2,1,1,1,3
6526,0,4,1,1,2,0,2,2,4
6527,0,0,0,3,2,0,2,1,4
6528,1,4,2,0,0,0,1,0,0
6529,1,0,1,3,2,1,1,2,4
6531,2,1,1,2,0,1,2,2,4
6532,1,1,0,0,0,1,1,2,4
6533,0,3,1,0,1,0,2,2,4
6535,1,3,0,2,2,0,0,2,3
6536,0,2,2,1,0,1,1,1,4
6538,1,2,0,1,0,1,2,0,0
6539,1,0,2,0,0,1,2,1,4
6540,2,2,2,3,1,1,1,2,3
6541,2,0,2,0,1,0,0,1,4
6542,1,0,1,3,1,1,2,0,0
6543,2,2,2,1,2,1,1,2,3
6544,2,1,2,1,1,1,2,1,3
6545,0,0,2,3,2,1,2,2,4
6546,1,0,0,0,2,1,2,1,3
6547,1,0,1,0,2,0,1,0,0
6548,1,4,2,2,0,1,1,0,0
6549,1,0,2,0,1,1,1,0,0
6550,0,0,2,0,1,0,0,2,4
6551,1,3,1,1,1,1,1,0,0
6552,1,2,1,2,0,1,2,0,0
6553,0,0,2,0,2,1,2,1,3
6554,0,2,2,3,0,1,0,0,0
6555,2,4,2,1,0,0,0,1,3
6556,0,1,1,2,1,0,0,0,0
6557,1,1,2,0,0,1,0,2,4
6558,0,2,1,1,0,1,0,0,0
6559,1,4,2,1,1,1,1,0,0
6560,1,4,2,0,2,0,2,2,3
6561,0,3,2,1,1,0,2,2,3
6562,0,1,1,1,0,0,1,1,4
6563,0,0,0,0,1,1,1,0,0
6564,1,4,1,3,1,0,1,2,3
6565,2,4,2,1,0,1,1,0,0
6566,1,2,1,1,0,0,2,2,4
6567,1,3,0,2,2,0,1,2,3
6568,1,0,2,2,1,1,1,2,4
6569,0,2,2,0,2,1,0,1,4
6570,0,1,2,3,0,0,2,2,4
6571,0,2,0,1,1,0,2,1,3
6572,2,3,2,0,1,1,0,0,0
6573,2,4,1,3,2,0,0,0,0
6574,1,2,2,1,1,1,0,2,3
6575,0,2,0,0,0,0,2,2,4
6576,0,4,0,3,1,1,1,1,3
6577,1,3,0,3,0,1,2,2,3
6578,2,4,2,2,0,1,2,0,0
6579,2,0,0,2,2,0,0,2,4
6580,2,0,2,1,0,1,2,0,0
6581,2,1,2,1,2,1,1,0,0
6582,1,3,2,1,1,0,1,2,3
6583,2,4,0,0,1,1,2,0,0
6584,1,0,1,0,2,0,0,1,4
6585,0,1,2,0,0,0,0,1,4
6586,0,2,2,2,1,1,2,1,3
6587,2,3,2,3,2,0,1,0,0
6588,1,3,2,0,0,0,0,2,3
6590,0,3,1,3,2,0,0,0,0
6591,0,4,2,2,1,1,2,0,0
6592,2,1,2,0,0,1,1,0,0
6593,2,0,2,0,1,1,0,0,0
6594,1,1,2,3,0,0,0,0,0
6595,1,4,2,3,0,0,0,2,3
6596,1,1,0,3,0,0,1,1,4
6597,0,4,2,3,0,1,2,2,4
6598,0,1,1,2,2,1,0,1,4
6600,2,2,2,2,2,1,1,2,3
6601,1,2,2,3,2,1,1,0,0
6602,1,3,2,1,0,1,1,2,3
6603,0,3,0,1,0,1,1,0,0
6604,2,4,2,3,0,0,0,0,0
6605,1,1,1,3,2,1,2,1,3
6606,1,2,2,2,2,1,1,2,3
6607,2,1,2,2,1,1,2,2,3
6608,2,1,1,0,0,0,0,2,4
6609,1,3,2,2,2,1,2,2,3
6610,1,2,2,2,1,1,0,0,0
6611,1,1,2,0,1,1,0,2,4
6612,1,3,1,3,1,0,1,0,0
6613,2,2,2,0,2,0,0,2,3
6614,2,3,2,3,2,1,1,1,2
6615,0,2,2,2,1,0,0,0,0
6616,2,4,2,1,1,0,1,1,2
6617,2,0,0,0,1,1,0,1,4
6618,1,3,2,1,1,0,0,0,0
6619,2,0,2,2,0,1,0,1,4
6620,2,1,1,0,1,1,0,1,4
6621,2,0,1,3,0,0,0,2,4
6622,0,1,2,1,2,1,2,1,3
6623,1,4,2,0,0,1,0,2,3
6624,1,4,2,2,0,0,1,0,0
6625,1,0,1,1,2,0,2,2,4
6626,2,0,2,2,2,1,1,0,0
6628,2,3,0,3,0,0,1,2,3
6629,1,0,2,0,2,0,1,2,4
6630,0,2,2,0,0,1,1,0,0
6631,1,0,1,0,2,1,2,2,4
6632,0,3,2,3,2,0,1,1,3
6633,2,0,2,3,2,1,2,2,4
6634,2,1,2,1,0,1,1,0,0
6635,1,3,2,3,2,1,0,1,3
6636,2,1,2,1,1,0,1,1,3
6637,2,3,2,0,1,0,1,1,3
6639,2,2,1,2,2,1,1,2,3
6640,2,1,2,3,1,0,1,1,3
6641,0,4,0,3,2,0,1,1,3
6642,1,3,2,3,0,1,0,2,3
6643,0,2,0,2,1,1,1,2,4
6644,2,0,0,3,1,1,0,0,0
6645,2,0,2,2,0,0,2,2,4
6646,1,0,0,2,0,1,0,0,0
6647,0,1,1,1,2,0,1,0,0
6648,0,4,1,0,1,0,1,0,0
6649,2,3,1,1,0,1,1,1,3
6650,2,2,2,3,2,0,0,2,3
6651,1,1,2,1,0,1,1,0,0
6652,0,0,2,0,1,1,1,1,4
6653,1,3,0,1,2,0,1,0,0
6654,2,1,2,0,0,0,1,1,3
6655,1,2,2,2,0,0,2,0,0
6656,2,3,2,2,1,0,0,1,3
6657,1,2,2,2,2,1,2,1,3
6658,1,3,2,1,0,1,2,1,2
6659,0,0,0,2,1,1,2,1,4
6660,2,3,2,2,2,1,0,2,3
6661,1,1,0,3,1,1,1,1,4
6662,0,1,2,1,1,0,1,1,3
6663,1,0,2,3,1,0,1,2,4
6664,2,3,1,1,1,0,0,2,3
6665,2,3,1,2,1,1,1,0,0
6666,1,1,1,0,1,0,1,2,4
6667,0,1,2,0,2,0,0,2,4
6668,0,3,0,2,2,0,1,0,0
6669,1,4,1,0,2,1,2,2,3
6670,0,2,2,0,2,0,1,2,4
6671,2,3,0,1,2,0,2,1,2
6672,0,0,2,3,2,0,1,0,0
6673,0,2,2,1,0,1,0,0,0
6674,0,1,2,2,1,0,2,1,3
6675,0,2,1,0,2,1,2,2,4
6677,0,2,1,3,1,1,2,0,0
6678,0,2,2,0,1,0,2,1,4
6679,0,4,0,0,1,1,1,2,4
6680,0,4,1,1,0,1,2,0,0
6681,0,4,0,1,1,1,0,0,0
6682,0,1,1,2,1,1,2,0,0
6683,2,0,0,0,1,1,2,0,0
6684,2,3,2,0,2,1,2,0,0
6685,2,0,1,3,1,1,2,2,4
6686,1,1,0,1,0,1,0,2,4
6687,0,1,2,3,0,1,1,2,4
6688,0,3,1,0,0,0,2,0,0
6689,1,1,0,0,0,1,0,2,4
6690,2,1,2,0,1,1,2,0,0
6691,2,0,2,3,1,0,2,0,0
6692,0,3,1,1,1,1,2,1,3
6693,0,0,2,2,1,1,0,2,4
6694,1,4,1,0,2,0,0,2,3
6695,1,1,2,2,1,1,0,2,4
6696,0,3,2,2,2,0,2,1,3
6697,2,2,2,0,2,1,2,1,2
6698,1,2,2,0,1,0,1,2,4
6699,1,2,2,1,0,0,1,2,4
6701,1,0,0,1,0,0,1,0,0
6702,2,2,1,0,2,1,2,2,3
6703,0,1,2,3,2,0,1,1,4
6704,0,2,2,0,2,0,0,2,4
6706,2,3,2,0,2,0,0,0,0
6707,1,2,0,1,1,0,0,1,3
6708,2,3,2,1,1,0,1,0,0
6709,1,4,1,3,1,1,1,0,0
6710,0,4,2,2,0,1,0,1,4
6712,2,4,1,1,0,1,2,0,0
6713,0,0,1,3,0,1,0,2,4
6714,0,1,2,0,2,0,0,1,4
6715,0,4,1,3,0,0,1,2,4
6716,0,0,0,1,0,0,1,0,0
6717,1,1,1,0,1,1,0,1,4
6718,1,1,2,3,2,0,2,2,4
6719,0,4,2,2,0,0,2,0,0
6720,2,0,1,2,2,1,0,1,4
6721,0,3,1,2,0,0,0,2,4
6722,1,1,2,3,1,1,1,2,4
6723,0,0,0,1,1,0,0,1,4
6724,1,3,2,0,0,0,1,2,3
6725,1,3,0,2,0,0,2,0,0
6726,0,1,0,0,0,1,0,0,0
6727,0,3,1,0,2,0,2,2,4
6728,2,2,1,3,2,1,2,2,3
6729,2,3,0,0,0,0,0,1,3
6730,0,2,1,1,2,1,1,0,0
6731,1,4,2,2,0,1,2,1,3
6732,2,2,0,1,0,0,1,0,0
6733,0,2,2,2,0,0,0,2,4
6734,2,1,2,2,2,1,0,0,0
6735,0,2,1,2,1,1,0,2,4
6736,2,3,2,1,0,0,0,1,3
6737,2,4,2,3,0,1,1,2,3
6738,0,1,2,3,1,1,0,1,4
6739,1,4,2,3,0,0,1,2,3
6740,2,4,1,3,0,1,0,0,0
6741,2,0,2,2,2,1,2,0,0
6742,0,1,1,2,0,0,1,2,4
6743,2,2,2,3,1,0,2,2,3
6744,2,3,2,1,0,0,2,1,3
6745,2,0,2,2,2,1,0,0,0
6746,0,1,0,3,2,1,1,1,3
6747,2,0,1,1,1,0,0,1,4
6748,1,4,1,3,0,0,0,0,0
6749,2,4,0,1,2,1,1,2,3
6750,2,0,0,1,0,1,1,1,4
6751,2,2,2,3,1,1,1,1,3
6752,2,0,2,2,1,0,1,2,4
6753,2,4,1,3,1,0,1,0,0
6754,1,1,2,0,1,1,0,2,4
6755,2,3,0,3,2,0,2,1,3
6757,2,0,0,0,2,0,1,1,4
6758,0,1,2,0,2,0,1,1,4
6760,2,3,1,2,1,0,2,1,3
6761,1,2,2,2,0,0,2,1,3
6762,2,1,0,1,1,1,1,0,0
6763,0,1,2,0,1,1,0,0,0
6764,1,3,0,2,0,1,1,0,0
6765,1,3,2,3,0,1,2,2,3
6766,2,2,2,1,1,0,0,0,0
6767,2,3,2,2,1,0,2,0,0
6768,0,1,2,1,2,1,1,1,3
6769,1,0,2,2,2,1,1,0,0
6770,1,3,1,3,1,1,2,1,3
6771,1,3,2,1,0,1,1,0,0
6772,0,3,2,0,0,1,1,2,4
6773,1,0,2,3,2,1,2,0,0
6774,2,3,0,2,1,0,1,2,3
6775,0,3,0,1,2,0,1,1,3
6776,0,3,2,1,2,1,0,1,3
6777,2,4,1,0,1,0,1,2,3
6778,2,0,0,3,0,1,0,1,4
6779,1,0,1,3,1,1,0,1,4
6780,2,2,1,3,0,1,1,2,3
6781,1,2,2,2,0,0,1,0,0
6782,1,1,2,0,0,0,0,1,4
6783,0,1,2,3,1,1,0,1,4
6784,0,2,0,0,1,0,2,1,4
6785,2,0,2,2,2,1,2,2,4
6786,1,1,2,0,0,0,2,0,0
6787,0,0,1,1,2,1,2,1,3
6789,0,1,2,0,0,1,0,2,4
6790,0,0,2,2,2,0,2,0,0
6791,1,4,2,3,0,1,0,2,3
6792,0,2,1,3,2,1,2,2,4
6793,0,2,0,1,2,0,1,2,4
6794,0,3,2,3,2,1,0,2,3
6795,2,0,0,1,0,1,2,2,4
6796,2,3,2,3,0,0,0,0,0
6797,1,0,0,2,1,1,2,2,4
6798,1,0,2,3,2,0,2,2,4
6799,1,0,2,0,2,1,1,1,3
6800,1,4,2,1,1,1,1,2,3
6801,2,1,2,2,2,1,0,2,3
6802,1,0,1,1,1,1,0,2,4
6803,1,0,2,2,2,1,0,1,4
6804,2,2,2,2,0,0,0,2,3
6805,2,3,1,2,0,0,2,1,3
6806,0,0,1,0,2,0,2,1,4
6807,0,2,0,0,2,0,1,2,4
6808,0,3,2,3,0,1,1,2,4
6809,2,2,2,3,2,1,1,2,3
6811,1,0,2,0,2,1,1,2,4
6812,0,4,1,0,1,0,1,2,4
6813,1,4,2,1,0,0,1,1,2
6814,2,4,2,3,0,1,2,2,3
6815,2,1,2,2,1,0,0,2,3
6816,2,2,2,2,2,0,2,2,3
6817,0,3,1,0,0,1,2,0,0
6818,0,4,2,0,0,0,1,2,4
6819,2,3,2,3,1,1,1,1,3
6820,2,0,1,3,1,1,1,0,0
6821,0,3,2,0,1,1,0,0,0
6822,2,1,0,0,0,0,2,0,0
6823,1,1,2,0,1,0,2,0,0
6824,0,3,1,0,0,1,1,2,4
6825,0,1,2,1,0,0,1,2,4
6826,1,2,0,0,1,0,0,1,4
6827,1,0,2,2,1,1,1,1,3
6828,2,1,2,0,1,0,0,2,4
6829,2,4,1,1,1,0,2,1,3
6830,0,3,0,3,0,1,1,2,4
6831,1,1,2,1,2,1,1,2,3
6832,2,1,2,3,1,1,1,0,0
6833,2,3,2,0,1,1,2,2,3
6834,1,4,2,1,1,0,1,0,0
6835,1,4,1,2,1,1,2,1,3
6836,0,4,2,3,1,0,1,1,3
6837,0,4,2,2,0,1,0,1,4
6838,2,0,2,1,0,1,1,2,4
6839,1,1,1,0,2,1,1,1,3
6840,2,0,1,1,1,0,2,1,4
6841,1,3,2,3,2,0,2,2,3
6842,0,3,0,1,0,1,1,1,3
6843,2,2,1,3,1,1,0,1,3
6844,2,0,1,3,2,1,1,1,3
6845,2,4,2,0,0,0,2,0,0
6846,1,0,2,2,0,1,1,1,4
6847,2,2,2,3,1,0,1,2,3
6848,2,3,1,0,0,0,1,1,3
6849,1,4,0,2,2,1,0,2,3
6850,1,0,2,3,1,1,1,2,4
6852,1,3,2,3,2,0,0,0,0
6854,0,1,1,2,0,0,2,2,4
6855,1,1,1,0,1,1,0,2,4
6856,0,3,0,3,2,0,0,0,0
6857,2,4,2,1,1,0,0,1,3
6858,0,4,1,1,0,1,0,1,4
6859,0,3,2,1,1,0,0,1,3
6860,1,1,0,1,0,0,1,2,4
6861,0,4,1,0,0,1,1,2,4
6862,1,0,0,3,0,1,1,2,4
6863,1,2,0,1,2,1,2,2,3
6864,1,1,2,1,0,1,2,2,4
6865,0,4,2,0,1,0,1,0,0
6866,0,3,0,2,0,1,1,1,3
6867,0,4,0,3,0,1,0,2,4
6869,0,1,1,2,2,0,2,2,4
6870,2,3,0,1,2,0,0,0,0
6872,1,0,0,3,1,1,2,1,4
6873,0,2,2,0,0,0,0,0,0
6874,1,3,2,1,2,0,0,2,3
6875,2,3,2,2,0,1,0,2,3
6876,0,4,1,2,2,1,0,1,3
6877,0,4,0,1,2,0,0,0,0
6878,2,2,2,1,0,1,1,1,2
6879,1,0,0,0,1,0,2,1,4
6880,1,0,2,2,0,1,0,0,0
6881,0,0,2,2,1,0,1,0,0
6882,2,1,1,1,2,0,2,2,4
6883,2,2,2,0,2,1,2,2,3
6884,1,2,0,3,2,0,0,0,0
6885,1,2,0,2,2,1,0,1,3
6886,1,0,0,2,1,0,0,1,4
6887,1,4,2,1,0,1,2,0,0
6888,0,0,0,0,1,1,1,1,4
6889,1,1,2,3,0,1,0,0,0
6890,1,0,2,3,1,1,0,1,4
6891,1,4,0,0,1,0,2,0,0
6892,1,3,1,0,0,0,2,0,0
6894,2,1,1,3,2,1,0,2,3
6895,0,4,2,2,2,1,1,0,0
6896,2,3,2,3,0,0,1,2,3
6897,2,3,2,3,1,0,2,0,0
6898,0,4,2,1,2,1,2,0,0
6899,2,0,1,1,0,1,0,1,4
6900,1,3,2,1,2,0,1,0,0
6901,1,1,2,3,2,1,1,1,3
6902,2,2,2,0,2,0,1,2,3
6903,0,0,2,1,2,0,0,0,0
6904,2,1,0,2,2,1,1,1,3
6905,0,1,2,3,0,1,1,1,4
6906,1,0,2,3,2,1,1,0,0
6907,1,0,1,3,1,1,1,1,4
6908,2,0,0,2,0,1,1,2,4
6909,1,2,2,2,1,1,2,2,3
6910,1,2,0,0,2,1,2,1,3
6911,1,3,1,0,1,0,2,2,3
6912,0,0,2,3,0,1,1,1,4
6913,1,4,0,3,0,1,0,2,3
6914,2,2,2,3,2,0,2,1,3
6915,0,1,1,2,0,0,2,1,4
6916,2,2,0,1,2,1,1,2,3
6917,1,1,1,1,1,0,0,0,0
6918,2,4,2,1,1,0,0,2,3
6919,1,2,1,1,1,0,0,1,4
6920,2,0,0,2,1,1,1,1,4
6921,0,3,0,1,2,1,1,1,3
6922,1,1,2,2,2,1,1,1,3
6923,0,4,2,0,2,1,1,0,0
6924,0,3,2,0,0,1,2,2,4
6925,0,0,2,1,1,0,2,0,0
6926,2,3,2,0,2,1,1,2,3
6927,0,3,2,0,2,0,2,2,4
6928,0,1,0,2,2,0,0,1,4
6929,2,1,2,1,0,0,2,0,0
6930,1,3,2,2,0,0,0,0,0
6931,2,2,0,3,2,1,2,1,2
6932,2,3,0,1,0,1,1,2,3
6933,1,4,1,1,2,1,2,1,2
6934,2,1,1,1,0,0,1,0,0
6935,2,1,1,1,0,1,2,1,3
6936,2,0,2,0,0,1,0,2,4
6937,2,0,0,2,1,0,1,2,4
6938,1,0,1,1,0,0,1,0,0
6939,0,0,0,2,2,1,2,2,4
6940,1,3,1,2,0,1,2,1,3
6941,2,3,1,1,1,0,2,1,3
